assessment_name,url
sales-interview-guide,https://www.shl.com/products/product-catalog/view/sales-interview-guide/
sales-profiler-cards,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/
sales-transformation-report-individual-contributor,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/
salestransformationreport2-0-individualcontributor,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/
sales-transformation-report-sales-manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/
sales-transformation-report-2-0-sales-manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/
salesforce-development-new,https://www.shl.com/products/product-catalog/view/salesforce-development-new/
sap-abap-advanced-level-new,https://www.shl.com/products/product-catalog/view/sap-abap-advanced-level-new/
sap-abap-intermediate-level-new,https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/
sap-basis-new,https://www.shl.com/products/product-catalog/view/sap-basis-new/
sap-business-objects-webi-new,https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/
sap-bw-business-warehouse-new,https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/
sap-hcm-human-capital-management-new,https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/
sap-hybris-new,https://www.shl.com/products/product-catalog/view/sap-hybris-new/
sap-materials-management-new,https://www.shl.com/products/product-catalog/view/sap-materials-management-new/
sap-sd-sales-and-distribution-new,https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/
search-engine-optimization-new,https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/
selenium-new,https://www.shl.com/products/product-catalog/view/selenium-new/
shell-scripting-new,https://www.shl.com/products/product-catalog/view/shell-scripting-new/
shl-verify-interactive-inductive-reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/
shl-verify-interactive-deductive-reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/
shl-verify-interactive-numerical-reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/
shl-verify-interactive-g,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/
shl-verify-interactive-numerical-calculation,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-calculation/
siebel-development-new,https://www.shl.com/products/product-catalog/view/siebel-development-new/
smart-interview-live,https://www.shl.com/products/product-catalog/view/smart-interview-live/
smart-interview-live-coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/
smart-interview-on-demand,https://www.shl.com/products/product-catalog/view/smart-interview-on-demand/
social-media-new,https://www.shl.com/products/product-catalog/view/social-media-new/
software-business-analysis,https://www.shl.com/products/product-catalog/view/software-business-analysis/
sonarqube-new,https://www.shl.com/products/product-catalog/view/sonarqube-new/
spelling-u-s-new,https://www.shl.com/products/product-catalog/view/spelling-u-s-new/
split-screen-typing-test-form-1,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/
spring-new,https://www.shl.com/products/product-catalog/view/spring-new/
sql-new,https://www.shl.com/products/product-catalog/view/sql-new/
sql-server-new,https://www.shl.com/products/product-catalog/view/sql-server-new/
sql-server-analysis-services-ssas-new,https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/
sql-server-integration-services-ssis-new,https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/
sql-server-reporting-services-ssrs-new,https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/
statistical-analysis-system-new,https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/
struts-new,https://www.shl.com/products/product-catalog/view/struts-new/
svar-spoken-english-aus,https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/
svar-spoken-english-indian-accent-new,https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/
svar-spoken-english-u-k,https://www.shl.com/products/product-catalog/view/svar-spoken-english-u-k/
svar-spoken-english-us-new,https://www.shl.com/products/product-catalog/view/svar-spoken-english-us-new/
svar-spoken-french-canadian-new,https://www.shl.com/products/product-catalog/view/svar-spoken-french-canadian-new/
